
Cycle 1
Physical Cycle 1
Step 1

Time (s),          Potential (V),         Current (A)
7.199744224548     -5.432036876678     -0.009999754839     


Cycle 1
Physical Cycle 1
Step 2

Time (s),          Potential (V),         Current (A)
1929.531372070313     3.000160932541     0.000205801669     
1936.731079101563     3.000160932541     0.000205297227     
1943.930908203125     3.000160932541     0.000205023985     
1951.130615234375     3.000160932541     0.000204603610     
1958.330322265625     3.000160932541     0.000204267315     
1965.530151367188     3.000160932541     0.000203878473     
1972.729858398438     3.000160932541     0.000203584219     
1979.929565429688     3.000160932541     0.000203121817     
1987.129394531250     3.000160932541     0.000202817057     
1994.329101562500     3.000160932541     0.000202459734     
2001.528808593750     3.000160932541     0.000202081414     
2008.728515625000     3.000160932541     0.000201829185     
2015.928344726563     3.000160932541     0.000201356277     
2023.128051757813     3.000160932541     0.000201030489     
2030.327758789063     3.000160932541     0.000200704701     
2037.527587890625     3.000170946121     0.000200347393     
2044.727294921875     3.000170946121     0.000200021605     
2051.927001953125     3.000170946121     0.000199664297     
2059.126708984375     3.000170946121     0.000199380549     
2066.326416015625     3.000181913376     0.000199054761     
2073.526367187500     3.000181913376     0.000198739479     
2080.726074218750     3.000181913376     0.000198434718     
2087.925781250000     3.000170946121     0.000198045876     
2095.125488281250     3.000170946121     0.000197741101     
2102.325195312500     3.000170946121     0.000197415327     
2109.524902343750     3.000170946121     0.000197058005     
2116.724853515625     3.000170946121     0.000196805791     
2123.924560546875     3.000170946121     0.000196553563     
2131.124267578125     3.000170946121     0.000196217268     
2138.323974609375     3.000170946121     0.000195870467     
2145.523681640625     3.000181913376     0.000195597226     
2152.723388671875     3.000181913376     0.000195313478     
2159.923095703125     3.000181913376     0.000194987690     
2167.123046875000     3.000170946121     0.000194714463     
2174.322753906250     3.000170946121     0.000194399181     
2181.522460937500     3.000170946121     0.000194273074     
2188.722167968750     3.000170946121     0.000193852698     
2195.921875000000     3.000170946121     0.000193505897     
2203.121582031250     3.000170946121     0.000193243162     
2210.321289062500     3.000170946121     0.000192948908     
2217.521240234375     3.000170946121     0.000192686188     
2224.720947265625     3.000170946121     0.000192433959     
2231.920654296875     3.000170946121     0.000192118692     
2239.120361328125     3.000170946121     0.000191813917     
2246.320068359375     3.000170946121     0.000191561703     
2253.519775390625     3.000181913376     0.000191235915     
2260.719726562500     3.000181913376     0.000190952167     
2267.919433593750     3.000181913376     0.000190668419     
2275.119140625000     3.000181913376     0.000190447725     
2282.318847656250     3.000181913376     0.000190132443     
2289.518554687500     3.000181913376     0.000189838189     
2296.718261718750     3.000181913376     0.000189596482     
2303.917968750000     3.000181913376     0.000189333747     
2311.117919921875     3.000181913376     0.000189028986     
2318.317626953125     3.000191926956     0.000188745238     
2325.517333984375     3.000191926956     0.000188482503     
2332.717041015625     3.000181913376     0.000188188249     
2339.916748046875     3.000191926956     0.000187936021     
2347.116455078125     3.000181913376     0.000187610232     
2354.316406250000     3.000191926956     0.000187368525     
2361.516113281250     3.000191926956     0.000187168858     
2368.715820312500     3.000191926956     0.000186916630     
2375.915527343750     3.000191926956     0.000186643389     
2383.115234375000     3.000181913376     0.000186338628     
2390.314941406250     3.000181913376     0.000185981306     
2397.514648437500     3.000181913376     0.000185718585     
2404.714599609375     3.000181913376     0.000185518904     
2411.914306640625     3.000181913376     0.000185277197     
2419.114013671875     3.000191926956     0.000184982942     
2426.313720703125     3.000191926956     0.000184772754     
2433.513427734375     3.000191926956     0.000184467994     
2440.713134765625     3.000191926956     0.000184205259     
2447.912841796875     3.000191926956     0.000183911005     
2455.112792968750     3.000191926956     0.000183700817     
2462.312500000000     3.000191926956     0.000183406562     
2469.512207031250     3.000191926956     0.000183227909     
2476.711914062500     3.000191926956     0.000182975680     
2483.911621093750     3.000191926956     0.000182712945     
2491.111328125000     3.000191926956     0.000182429198     
2498.311279296875     3.000181913376     0.000182197997     
2505.510986328125     3.000181913376     0.000181966796     
2512.710693359375     3.000181913376     0.000181809155     
2519.910400390625     3.000181913376     0.000181556941     
2527.110107421875     3.000181913376     0.000181378287     
2534.309814453125     3.000181913376     0.000181126059     
2541.509521484375     3.000191926956     0.000180894858     
2548.709472656250     3.000191926956     0.000180674164     
2555.909179687500     3.000191926956     0.000180527044     
2563.108886718750     3.000191926956     0.000180306350     
2570.308593750000     3.000191926956     0.000180054121     
2577.508300781250     3.000191926956     0.000179928014     
2584.708007812500     3.000181913376     0.000179633760     
2591.907958984375     3.000181913376     0.000179444585     
2599.107666015625     3.000191926956     0.000179234412     
2606.307373046875     3.000191926956     0.000178950664     
2613.507080078125     3.000191926956     0.000178729970     
2620.706787109375     3.000191926956     0.000178603848     
2627.906494140625     3.000191926956     0.000178309594     
2635.106201171875     3.000181913376     0.000178130940     
2642.306152343750     3.000181913376     0.000178004833     
2649.505859375000     3.000181913376     0.000177794645     
2656.705566406250     3.000181913376     0.000177573951     
2663.905273437500     3.000191926956     0.000177321737     
2671.104980468750     3.000181913376     0.000177174603     
2678.304687500000     3.000191926956     0.000176953909     
2685.504394531250     3.000191926956     0.000176764748     
2692.704345703125     3.000191926956     0.000176617614     
2699.904052734375     3.000191926956     0.000176344372     
2707.103759765625     3.000191926956     0.000176302332     
2714.303466796875     3.000191926956     0.000175945024     
2721.503173828125     3.000191926956     0.000175787383     
2728.702880859375     3.000191926956     0.000175587717     
2735.902832031250     3.000191926956     0.000175409063     
2743.102539062500     3.000181913376     0.000175230394     
2750.302246093750     3.000181913376     0.000175041234     
2757.501953125000     3.000181913376     0.000174894099     
2764.701660156250     3.000191926956     0.000174620873     
2771.901367187500     3.000181913376     0.000174400178     
2779.101074218750     3.000181913376     0.000174158457     
2786.301025390625     3.000191926956     0.000173937762     
2793.500732421875     3.000191926956     0.000173790642     
2800.700439453125     3.000181913376     0.000173590961     
2807.900146484375     3.000181913376     0.000173359760     
2815.099853515625     3.000181913376     0.000173233653     
2822.299560546875     3.000181913376     0.000172991946     
2829.499511718750     3.000181913376     0.000172813292     
2836.699218750000     3.000181913376     0.000172655651     
2843.898925781250     3.000181913376     0.000172392916     
2851.098632812500     3.000181913376     0.000172172222     
2858.298339843750     3.000181913376     0.000171993568     
2865.498046875000     3.000181913376     0.000171783380     
2872.697753906250     3.000191926956     0.000171573192     
2879.897705078125     3.000191926956     0.000171394538     
2887.097412109375     3.000191926956     0.000171299966     
2894.297119140625     3.000191926956     0.000171068765     
2901.496826171875     3.000191926956     0.000170953150     
2908.696533203125     3.000191926956     0.000170795523     
2915.896240234375     3.000191926956     0.000170553802     
2923.095947265625     3.000191926956     0.000170375148     
2930.295898437500     3.000191926956     0.000170196494     
2937.495605468750     3.000191926956     0.000170017840     
2944.695312500000     3.000191926956     0.000169807652     
2951.895019531250     3.000191926956     0.000169586958     
2959.094726562500     3.000191926956     0.000169408304     
2966.294433593750     3.000191926956     0.000169261170     
2973.494384765625     3.000191926956     0.000169135063     
2980.694091796875     3.000191926956     0.000168956409     
2987.893798828125     3.000191926956     0.000168809274     
2995.093505859375     3.000191926956     0.000168704180     
3002.293212890625     3.000191926956     0.000168483501     
3009.492919921875     3.000191926956     0.000168357379     
3016.692626953125     3.000191926956     0.000168168219     
3023.892578125000     3.000191926956     0.000168000071     
3031.092285156250     3.000191926956     0.000167863458     
3038.291992187500     3.000191926956     0.000167705817     
3045.491699218750     3.000191926956     0.000167527163     
3052.691406250000     3.000191926956     0.000167390535     
3059.891113281250     3.000191926956     0.000167211881     
3067.091064453125     3.000191926956     0.000167033228     
